"","logFC","logCPM","PValue","FDR"
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;__",-9.76594051660138,12.0457502385411,1.80220777827011e-06,0.000200998805539782
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014;__",-12.4558103223486,11.8726804334297,2.57690776333054e-06,0.000200998805539782
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Eikenella;__",11.8757333539997,11.0220861383068,5.34388991137557e-06,0.00027788227539153
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__[Eubacterium]_siraeum_group;s__[Eubacterium]_siraeum",-9.79719731269796,9.25278437862923,8.78210039490675e-06,0.000342501915401363
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__uncultured_organism",-13.060823210712,12.4751107772817,2.43482213581562e-05,0.000759664506374474
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella;__",3.65956037471867,14.5267935531475,0.000294954095102645,0.00743606566061435
"d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39;g__RF39;s__gut_metagenome",-11.9800245148456,11.3997595452861,0.000333669612976285,0.00743606566061435
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;__",3.44433091017687,12.6179706983751,0.000415294322578096,0.00809823929027286
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group;s__uncultured_bacterium",-7.92950993679634,7.50150084060247,0.000611706750352449,0.00820982020724595
"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella;__",4.26728701051085,12.0177578032111,0.000644978079332217,0.00820982020724595
