"","012618.SM1","012618.SM100","012618.SM101","012618.SM102","012618.SM104","012618.SM105","012618.SM106","012618.SM107","012618.SM110","012618.SM24","012618.SM33","012618.SM92","012618.SM97","012618.SM99","060619.SM66","060619.SM89","060619.SM92","060619.SM95","090918.SM113","090918.SM12","090918.SM44","090918.SM59","3.1","4.8.08","6.14","PT.11","PT.12","PT.16","PT.23","PT.28","PT.36","PT.40","PT.52","PT.55","PT.56","PT.57","PT.58","PT.6","PT.68","PT.7","PT.8","PT.9"
"d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0.29,0,0,0,0,0,0,0,0
"d__Bacteria;__;__;__;__;__",0,0,0,0,0,0,0,0,0,0.25,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.06,0.1,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0
"d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriae;f__Acidobacteriae;g__Paludibaculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0.1,1.02,0.39,1.78,0.54,0,0.24,0.71,0.11,0,0,0.59,0.27,0,0.39,0.16,0.14,0,0.06,0.1,0.03,0,0.07,0.38,0,0.11,0.29,0.55,0.75,0.53,0.07,0.95,1.08,0.35,0.53,0.32,0.24,1,0.44,0.11,0,0.22
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinotignum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__F0332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum",0.04,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0.22,0,0,0,0.48,0.03,2.02,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium",62.32,0.63,122.49,144.99,49.7,2.71,1.26,295.92,0,1.21,0.27,64.42,38.41,15.75,50.28,8.85,4.64,1.92,32.2,16.86,15.09,26.6,1.22,76.67,0.24,42.78,219.27,47.03,246.27,369,69.07,211.24,0,28.28,49.42,36.61,207.16,11.2,0.28,66.98,1.18,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Scardovia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium",0,0,0,0.16,0,0,0,0.13,0.05,0,0,0,0,0,0,0,0,0,0.04,0,0,0.13,0.37,0.01,0.03,0.07,0,0,0,0,0,0,0.09,0,0,0.15,0.02,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
