"","logFC","logCPM","PValue","FDR"
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__uncultured_Alistipes",-13.5214001875557,13.4433702023821,2.69744470620045e-07,4.28893708285872e-05
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Eikenella;__",11.197115868681,10.0811959529714,1.82845820107722e-06,0.000145362426985639
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis;s__[Clostridium]_leptum",-11.2280820944203,11.1611210799629,7.80435201566399e-06,0.000413630656830192
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella;__",4.60319440206723,14.9406832288688,4.47304084202518e-05,0.00150116413438718
"d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;__",7.59756776132252,13.6002964729069,4.72064193203516e-05,0.00150116413438718
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;__",-10.42014566745,12.5192101334117,9.70427516995743e-05,0.00257163292003872
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1;s__metagenome",-11.4163341491685,11.347851818638,0.000120856782907917,0.0026589422406114
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014;__",-13.345220466173,13.2675542994715,0.000133783257389253,0.0026589422406114
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas_asaccharolytica",8.68471065173851,11.0563380812227,0.00025929235103635,0.00458083153497553
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia;__",-10.5322479296628,10.4738237840878,0.000400097791626626,0.00636155488686335
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014;s__gut_metagenome",-12.9879227406111,12.9110974772306,0.000614570678533094,0.00888333980788744
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides_difficile",8.64930314582994,11.686034852237,0.000757256713850782,0.0095916456719022
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__[Eubacterium]_siraeum_group;s__[Eubacterium]_siraeum",-10.0649392515562,10.0149287988847,0.000833121171583242,0.0095916456719022
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_hallii_group;s__uncultured_organism",-11.0295459571978,10.964646309637,0.000844547417651766,0.0095916456719022
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__uncultured_organism",-13.6046244430566,13.5264392163476,0.000977650362655846,0.0102281064924704
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gnavus_group;__",4.00079914910872,13.3127329472985,0.00104693985566629,0.0102281064924704
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_massiliensis",-11.800520706766,11.7288415637142,0.00109357113441508,0.0102281064924704
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1;s__Clostridium_perfringens",8.11977021096891,9.27304750107819,0.0013202852971766,0.01166252012506
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002;__",-6.79622127855607,12.7027266180062,0.00148711480930904,0.0124448028779019
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_brachy_group;s__uncultured_bacterium",-7.86382599316896,7.9202382323303,0.0019338388692546,0.0152202573567466
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__uncultured;__",-8.64343616020279,8.64456762904185,0.00201022266975899,0.0152202573567466
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium;__",3.38573284861336,13.3943055716993,0.00213690015580058,0.0154439602169224
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__uncultured_Blautia",-8.71692077838633,8.71402634370813,0.00248353359801092,0.0171687757427711
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;__",2.99786416774619,12.1485201762064,0.00268272459193615,0.017773050421577
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__gut_metagenome",-8.4481959271541,8.46019024437726,0.00319537434078323,0.0203225808073813
"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella;__",3.76215159796539,11.2340349116111,0.0033384869679701,0.0204161318425863
