family,number,methods,effect
Methanobacteriaceae,-1,Vila,decreased
Bifidobacteriaceae,1,Vila,increased
Propionibacteriaceae,-1,Vila,decreased
Streptomycetaceae,-1,Vila,decreased
Coriobacteriaceae,-2,Vila,decreased
Eggerthellaceae,-2,Vila,decreased
Eggerthellaceae,1,Vila,increased
Bacteroidaceae,5,Vila,increased
Rikenellaceae,-1,Vila,decreased
Desulfovibrionaceae,-1,Vila,decreased
Akkermansiaceae,-1,Vila,decreased
Clostridiaceae,-8,Vila,decreased
Clostridiales_noname,-3,Vila,decreased
Clostridiales_noname,1,Vila,increased
Eubacteriaceae,-1,Vila,decreased
Lachnospiraceae,-11,Vila,decreased
Lachnospiraceae,1,Vila,increased
Oscillospiraceae,-2,Vila,decreased
Peptostreptococcaceae,-4,Vila,decreased
Ruminococcaceae,-5,Vila,decreased
Erysipelotrichaceae,-2,Vila,decreased
Acidaminococcaceae,1,Vila,increased
Akkermansiaceae,-2,16S,decreased
Enterobacteriacea,1,16S,increased
Neisseriaceae,1,16S,increased
Fusobacteriaceae,1,16S,increased
Veillonellaceae,1,16S,increased
Peptostreptococcaceae,2,16S,increased
Peptostreptococcaceae,-1,16S,decreased
Ruminococcaceae,-8,16S,decreased
Ruminococcaceae,1,16S,increased
Oscillospiraceae,-8,16S,decreased
Oscillospiraceae,2,16S,increased
Monoglobaceae,-1,16S,decreased
Lachnospiraceae,3,16S,increased
Lachnospiraceae,-17,16S,decreased
Clostridiaceae,1,16S,increased
Clostridiaceae,-2,16S,decreased
Clostridia_vadinBB60_group,-2,16S,decreased
Clostridia_UCG-014,-2,16S,decreased
Hungateiclostridiaceae,-1,16S,decreased
Christensenellaceae,-3,16S,decreased
RF39,-3,16S,decreased
Streptococcaceae,1,16S,increased
Streptococcaceae,-1,16S,decreased
Carnobacteriaceae,1,16S,increased
Erysipelotrichaceae,2,16S,increased
Erysipelotrichaceae,-1,16S,decreased
Desulfovibrionaceae,-1,16S,decreased
Tannerellaceae,-2,16S,decreased
Rikenellaceae,-4,16S,decreased
Prevotellaceae,-1,16S,decreased
Porphyromonadaceae,1,16S,increased
Barnesiellaceae,-1,16S,decreased
Bacteroidaceae,2,16S,increased
Bacteroidaceae,-2,16S,decreased
Eggerthellaceae,-4,16S,decreased
Coriobacteriales,-1,16S,decreased
Methanobacteriaceae,-1,16S,decreased
Akkermansiaceae,-1,shotgun,decreased
Synergistaceae,-1,shotgun,decreased
Pasteurellaceae,3,shotgun,increased
Morganellaceae,1,shotgun,increased
Enterobacteriaceae,3,shotgun,increased
Campylobacteraceae,1,shotgun,increased
Campylobacteraceae,-2,shotgun,decreased
Desulfovibrionaceae,-1,shotgun,decreased
Neisseriaceae,1,shotgun,increased
Burkholderiaceae,1,shotgun,increased
Fusobacteriaceae,2,shotgun,increased
Veillonellaceae,2,shotgun,increased
Veillonellaceae,-1,shotgun,decreased
Acidaminococcaceae,-1,shotgun,decreased
Turicibacteraceae,-1,shotgun,decreased
Erysipelotrichaceae,1,shotgun,increased
Peptostreptococcaceae,2,shotgun,increased
Oscillospiraceae,1,shotgun,increased
Oscillospiraceae,-1,shotgun,decreased
Firmicutes_noname,-1,shotgun,decreased
Lachnospiraceae,3,shotgun,increased
Lachnospiraceae,-5,shotgun,decreased
Clostridiaceae,2,shotgun,increased
Clostridiaceae,-2,shotgun,decreased
Christensenellaceae,-1,shotgun,decreased
Streptococcaceae,6,shotgun,increased
Streptococcaceae,-5,shotgun,decreased
Lactobacillaceae,3,shotgun,increased
Enterococcaceae,1,shotgun,increased
Enterococcaceae,-1,shotgun,decreased
Thermaceae,-2,shotgun,decreased
Flavobacteriaceae,-1,shotgun,decreased
Porphyromonadaceae,1,shotgun,increased
Bacteroidetes_noname,-1,shotgun,decreased
Bacteroidaceae,2,shotgun,increased
Bacteroidaceae,-1,shotgun,decreased
Eggerthellaceae,-3,shotgun,decreased
Propionibacteriaceae,1,shotgun,increased
Bifidobacteriaceae,3,shotgun,increased
Bifidobacteriaceae,-2,shotgun,decreased
Actinomycetaceae,-1,shotgun,decreased
