family,number,methods,effect
Methanobacteriaceae,-1,Vila,decreased
Bifidobacteriaceae,1,Vila,increased
Propionibacteriaceae,-1,Vila,decreased
Streptomycetaceae,-1,Vila,decreased
Coriobacteriaceae,-2,Vila,decreased
Eggerthellaceae,-2,Vila,decreased
Eggerthellaceae,1,Vila,increased
Bacteroidaceae,5,Vila,increased
Rikenellaceae,-1,Vila,decreased
Desulfovibrionaceae,-1,Vila,decreased
Akkermansiaceae,-1,Vila,decreased
Clostridiaceae,-8,Vila,decreased
Clostridiales_noname,-3,Vila,decreased
Clostridiales_noname,1,Vila,increased
Eubacteriaceae,-1,Vila,decreased
Lachnospiraceae,-11,Vila,decreased
Lachnospiraceae,1,Vila,increased
Oscillospiraceae,-2,Vila,decreased
Peptostreptococcaceae,-4,Vila,decreased
Ruminococcaceae,-5,Vila,decreased
Erysipelotrichaceae,-2,Vila,decreased
Acidaminococcaceae,1,Vila,increased
Akkermansiaceae,-1,shotgun,decreased
Pasteurellaceae,3,shotgun,increased
Morganellaceae,1,shotgun,increased
Enterobacteriaceae,6,shotgun,increased
Aeromonadaceae,1,shotgun,increased
Campylobacteraceae,-2,shotgun,decreased
Neisseriaceae,1,shotgun,increased
Fusobacteriaceae,1,shotgun,increased
Peptoniphilaceae,1,shotgun,increased
Veillonellaceae,2,shotgun,increased
Veillonellaceae,-1,shotgun,decreased
Turicibacteraceae,-1,shotgun,decreased
Erysipelotrichaceae,1,shotgun,increased
Peptostreptococcaceae,2,shotgun,increased
Oscillospiraceae,1,shotgun,increased
Oscillospiraceae,-1,shotgun,decreased
Lachnospiraceae,2,shotgun,increased
Lachnospiraceae,-4,shotgun,decreased
Eubacteriaceae,1,shotgun,increased
Clostridiaceae,2,shotgun,increased
Clostridiaceae,-1,shotgun,decreased
Christensenellaceae,-1,shotgun,decreased
Streptococcaceae,-6,shotgun,decreased
Streptococcaceae,5,shotgun,increased
Lactobacillaceae,3,shotgun,increased
Enterococcaceae,1,shotgun,increased
Thermaceae,-2,shotgun,decreased
Flavobacteriales,-1,shotgun,decreased
Porphyromonadaceae,1,shotgun,increased
Bacteroidaceae,2,shotgun,increased
Eggerthellaceae,-2,shotgun,decreased
Bifidobacteriaceae,3,shotgun,increased
Bifidobacteriaceae,-3,shotgun,decreased
Actinomycetaceae,-1,shotgun,decreased
Akkermansiaceae,-2,16S,decreased
Pasteurellaceae,2,16S,increased
Enterobacteriaceae,2,16S,increased
Sutterellaceae,1,16S,increased
Neisseriaceae,1,16S,increased
Fusobacteriaceae,1,16S,increased
Veillonellaceae,1,16S,increased
Peptoniphilaceae,2,16S,increased
Anaerovoracaceae,-1,16S,decreased
Ruminococcaceae,-9,16S,decreased
Oscillospiraceae,-5,16S,decreased
Oscillospiraceae,1,16S,increased
Monoglobaceae,-1,16S,decreased
Lachnospiraceae,-8,16S,decreased
Lachnospiraceae,2,16S,increased
Clostridiaceae,-2,16S,decreased
Clostridiaceae,1,16S,increased
Clostridia_vadinBB60_group,-2,16S,decreased
Clostridia_UCG-014,-1,16S,decreased
Christensenellaceae,-3,16S,decreased
Enterococcaceae,-3,16S,decreased
Streptococcaceae,1,16S,increased
Carnobacteriaceae,1,16S,increased
Erysipelatoclostridiaceae,1,16S,increased
Tannerellaceae,-1,16S,decreased
Prevotellaceae,-1,16S,decreased
Porphyromonadaceae,1,16S,increased
Barnesiellaceae,-1,16S,decreased
Eggerthellaceae,-2,16S,decreased
