"","logFC","logCPM","PValue","FDR"
"k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula",5.72144026009194,12.8083895686258,2.5783243009798e-09,3.55808753535212e-07
"k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium nucleatum",10.6920000104051,12.3581246101391,1.23068659071431e-08,8.49173747592877e-07
"k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter concisus",9.07633388927569,4.2868040724816,6.61489864433469e-08,2.57729644450584e-06
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Eikenella;s__Eikenella corrodens",11.5792628024997,10.0590419067049,8.8369848951558e-08,2.57729644450584e-06
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Gordonibacter;s__Gordonibacter urolithinfaciens",-9.98512053842226,12.3355370011129,9.33803059603565e-08,2.57729644450584e-06
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis",5.25061961687518,17.6807776878671,1.50332184197143e-06,3.45764023653429e-05
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium perfringens",4.40612272260207,9.18157542216217,2.34877997191667e-06,4.63045194463572e-05
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis",4.04224419786597,10.2508233123926,3.0121526909482e-06,5.19596339188564e-05
"k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__NA;s__Erysipelotrichaceae bacterium I46",3.98781551938767,12.9348736198207,6.01344190835997e-06,9.22061092615196e-05
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii",3.58125624572058,13.5473464756466,8.60937117965888e-06,0.000118809322279292
"k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Megasphaera;s__Megasphaera elsdenii",-6.72530550887001,6.27434607250309,1.08347006830569e-05,0.000135926244932896
"k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium hwasookii",8.09862426371007,5.07942339252448,1.84909533454072e-05,0.000209179251556618
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile",3.04142598911358,10.9405782031836,1.97052918133046e-05,0.000209179251556618
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas asaccharolytica",8.67501579041892,8.84787042151048,5.06436935364876e-05,0.000499202122002521
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli",4.00474438508661,15.9055916606054,6.5608645764259e-05,0.000603599541031182
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter freundii",7.08318800356411,6.7782001225504,8.7754018916183e-05,0.000756878413152078
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus influenzae",5.45739129881595,5.71638529772446,0.000115681587320309,0.000939062297070745
"k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Dialister;s__Dialister pneumosintes",5.63775759621951,7.56350507798061,0.000140613712317391,0.00107756871472234
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__Ruminococcus bicirculans",-4.89248837828388,13.0201662365093,0.000148360909998003,0.00107756871472234
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri",7.93167976174724,8.17430656150272,0.000255442128251523,0.00176255068493551
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Morganella;s__Morganella morganii",8.8519108936212,5.5138911804637,0.000274508761012413,0.00180391471522443
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia equolifaciens",-5.15866492930454,11.8091552266872,0.000323415855559302,0.00202869945759926
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis",-6.3120911239634,10.0071697827891,0.000363991003312765,0.00218394601987659
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster bolteae",2.45760970222491,12.9836383945174,0.000448164497805935,0.00251066551191046
"k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Cloacibacillus;s__Cloacibacillus porcorum",-5.01352431049828,5.42467468832284,0.000454830708679431,0.00251066551191046
"k__Bacteria;p__Deinococcus-Thermus;c__Deinococci;o__Thermales;f__Thermaceae;g__Thermus;s__Thermus scotoductus",-10.0444809397252,6.24567076601801,0.000495407750779599,0.00257288970631248
"k__Bacteria;p__Deinococcus-Thermus;c__Deinococci;o__Thermales;f__Thermaceae;g__Meiothermus;s__Meiothermus silvanus",-9.63360197477011,5.84507497764264,0.000503391464278528,0.00257288970631248
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus parainfluenzae",3.64685104977477,9.2716182205135,0.000549907022833924,0.00271025604111006
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum hallii",-2.50465739846296,12.7544800565691,0.00140126522974638,0.00666808971396555
