# Constructed from biom file
#OTU ID	SM030818-1	SM030818-24	SM030818-33	SM030818-62	SM030818-66	SM030818-91	SM030818-92	SM030818-93	SM030818-94	SM030818-95	SM030818-96	SM030818-97	SM030818-98	SM030818-99	SM030818-100	SM030818-101	SM030818-102	SM030818-103	SM030818-104	SM030818-105	SM030818-106	SM030818-107	SM030818-108	SM030818-109	SM030818-110	SM030818-111	SM030818-121	SM030818-126	SM030818-128	SM030818-130	SM030818-131	SM030818-132	SM030818-133	SM030818-134	SM030818-135	SM030818-136	SM030818-138	SM030818-139	SM030818-140	SM030818-141	SM030818-142	SM030818-143	SM030818-144	SM030818-145	SM030818-146	SM030818-147	SM030818-148	SM111418-7	SM111418-12	SM111418-44	SM111418-52	SM111418-59	SM111418-94	SM111418-113	SM071219-60	SM071219-66	SM071219-71	SM071219-89	SM071219-92	SM071219-95
195	0.001837534	0.000313281	0.000166652	0.002603943	0.0	0.0	0.000204547	0.0	0.00015945	0.000108087	0.0	0.00046933	0.0	2.48e-05	0.00061681	0.000430875	0.0	0.0	0.000326367	0.0	0.000116621	0.000161732	0.0	5.35e-59	0.000153403	0.0	0.000949083	0.00120684	0.002004019	0.001084936	0.002738677	0.017102107	0.001614494	0.003028084	0.000365854	0.003273896	0.000475709	0.000205184	0.000318209	0.000196666	0.001795837	0.000522117	0.000498251	0.000797332	0.00032657	0.001963754	0.000839142	0.0	0.000832445	0.000329143	0.0	0.000305112	0.0	0.000313532	0.0	0.000496965	0.0	0.000823392	0.00012191	0.000610446
197	8.33e-06	2.5e-99	0.0	5.63e-31	0.0	0.0	0.0	0.0	1.14e-180	0.0	0.0	2.33e-23	0.0	0.0	0.000254313	0.001371006	0.0	0.0	0.0	6.43e-05	0.0	0.0	0.0	0.0	0.0	0.0	7.26e-17	5.64e-30	0.0	2.32210853545e-322	0.000264624	7.83e-05	0.0	2.45e-05	0.000115534	0.0	0.0	0.0	3.22e-05	0.0	0.000580525	3.15e-05	4.8e-05	5.5e-05	1.12e-294	0.001893328	5.97e-05	0.0	8.56e-05	0.0	0.0	8.38e-05	0.0	1.93e-166	0.000374485	1.93e-75	0.0	6.69e-65	1.49e-42	8.64e-143
199	0.0	0.0	0.0	0.0	0.0	0.000838106	0.0	0.0	0.0	0.0	0.001677293	0.0	0.0	0.0	0.000118572	5.14e-06	0.000856369	0.0	0.0	0.0	0.0	0.0	2.61e-13	0.0	8.4e-25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.49e-05	6.46e-06	0.0	0.0	3.04e-05	0.0	0.0	4.11e-05	0.0	0.0	0.0	0.0
206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.2e-52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
210	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.67e-139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.44e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
287	0.0	0.0	1.74e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.26e-05	0.0	0.0	0.0	0.0	4.99e-06	0.0	0.0	0.0	0.0	0.0	1.8e-67	0.039425754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.56e-06	5.16e-06	2.11e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.4e-06	0.0	0.0	3.99e-05	0.0	0.0	0.0	0.0	0.0	2.8e-16	0.0	0.0	0.0	0.0	1.22e-37	1.23e-05	0.0
292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.33e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.85e-05	0.0	7.13e-16	0.0	0.0	0.0	3.56e-30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.38e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.79e-87	0.0	0.0	0.0	0.0	0.000113619	0.0	0.0
296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27e-241	0.0	0.0	0.0	0.0	0.0	0.0	3.09e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51e-85	0.0	0.0	0.0	0.0	0.0	0.0	0.0
300	0.0	0.000444044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.86e-32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.04e-67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.81e-48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
