# Constructed from biom file
SM030818-1	SM030818-24	SM030818-33	SM030818-62	SM030818-66	SM030818-91	SM030818-92	SM030818-93	SM030818-94	SM030818-95	SM030818-96	SM030818-97	SM030818-98	SM030818-99	SM030818-100	SM030818-101	SM030818-102	SM030818-103	SM030818-104	SM030818-105	SM030818-106	SM030818-107	SM030818-108	SM030818-109	SM030818-110	SM030818-111	SM030818-121	SM030818-126	SM030818-128	SM030818-130	SM030818-131	SM030818-132	SM030818-133	SM030818-134	SM030818-135	SM030818-136	SM030818-138	SM030818-139	SM030818-140	SM030818-141	SM030818-142	SM030818-143	SM030818-144	SM030818-145	SM030818-146	SM030818-147	SM030818-148	SM111418-7	SM111418-12	SM111418-44	SM111418-52	SM111418-59	SM111418-94	SM111418-113	SM071219-60	SM071219-66	SM071219-71	SM071219-89	SM071219-92	SM071219-95
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales	1.87999965314e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.06999999379e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.70999852506e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales	3.62199933174e-05	9.73000017319e-05	3.17999923394e-06	0.000192640951635	0.0	0.0	2.92999909784e-05	0.00064084100892	9.10999947343e-05	0.0	0.000113099992869	0.000134800020111	0.0	5.94000022572e-237	0.000243270938907	9.59599912004e-05	0.000119099973857	0.0	3.81999888838e-05	3.27000039694e-06	0.00011900798854	0.0	0.0	0.000138022983947	0.000123200036727	0.0	3.20999972132e-05	0.0	6.23999976501e-23	0.000132100003429	4.6999999859e-05	7.95600084914e-05	5.23499845625e-05	3.47300127636e-05	3.40299909169e-05	4.5800003435e-05	0.000175310992143	3.94280186928e-05	1.56900034422e-05	0.000205860083574	0.000772653403688	0.000419886964137	0.00017253095911	0.000125769967513	0.000102639996044	6.15800251503e-05	0.000347835998052	0.000513516999996	5.65899985284e-05	1.33299950931e-05	0.000190762002671	5.4059985452e-05	0.000348441931683	3.56999929207e-05	9.12999817035e-06	0.000472252930082	0.0	0.000171599977331	0.0	8.93000104566e-06
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinopolysporales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.50999996073e-138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales	0.133664058339	0.0288107825128	0.000459808889232	0.573238446281	0.0163386141286	0.00548539712913	0.062613327121	8.64000012027e-26	0.000482534972109	0.000942145828406	4.22999973328e-67	0.264674074489	0.000466483066707	0.0412183835663	0.000451205886696	0.0504110573777	0.547729876773	0.294588917775	0.163973721284	0.00367514744689	0.00642605068117	0.49674153358	0.000105500016668	0.00263017369409	0.000895266266879	0.0	0.00614368746663	0.00148799900223	0.00882639526761	0.0571839904845	0.238345493285	0.00731216978042	0.000491895854942	0.25422430143	0.314463282066	0.139047835429	0.703202725501	0.905247475178	0.332580292964	0.653072387252	0.00750903892325	0.24622257597	0.147218721109	0.209568964884	0.772113050242	0.00306772263391	0.380723317868	0.0	0.0969943314777	0.0284146645406	0.0	0.243526462573	3.72999926875e-05	0.0683030124555	0.131319971683	0.2168145539	0.0	0.0842415828715	0.0217391248498	0.00583010868697
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Candidatus Nanopelagicales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.06999765714e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Catenulisporales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.5000034508e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales	1.49999972325e-06	1.03000001833e-96	0.0	0.0	0.0	0.0	5.74999822954e-06	0.0	0.0	0.0	0.0	4.98000074298e-36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4400001748e-21	0.0	2.41000016758e-05	8.3200013145e-05	0.0	0.0	0.0	0.0	0.00020699200031	0.0	0.0	0.0	1.55000016543e-05	2.31999931584e-06	0.0	0.0	4.1400003105e-32	1.48999993322e-06	2.42000114732e-16	4.45000097627e-275	8.74000354823e-06	4.17400218079e-05	7.13699939043e-05	2.20999947623e-06	3.08799920234e-05	1.01399996092e-05	0.0	0.0	0.0	3.75999990222e-82	2.15999920488e-27	0.0	1.46919960463e-05	1.08999978629e-15	3.74999925637e-06	1.21999975551e-05	0.0	0.0	0.0	5.9500022306e-06	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Frankiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.85999975573e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales	1.95299963967e-05	6.65000011837e-05	6.42999845101e-06	2.2599994326e-05	0.00138169001088	6.56000015442e-05	9.87999695789e-05	0.0	0.0	6.00999890538e-05	0.00100183793683	3.63000054157e-05	0.000142398020363	0.0	0.000840554788909	3.03999972123e-06	0.00049626389107	0.0	0.000107299968776	0.0	8.07999922189e-06	2.500000169e-05	0.0	0.0	0.000237076070672	0.0	0.0	0.0	0.0	0.000145664003781	0.000107859999676	3.12000033308e-05	1.38699959098e-05	0.000160200058875	2.44999934606e-05	4.1000003075e-05	4.68399979008e-05	3.11000147445e-05	0.00012571202758	1.9250007815e-05	4.1120021484e-05	7.26699937933e-05	5.82899861853e-05	3.88899899544e-05	2.06099992057e-05	8.10700331104e-05	0.000652975996343	0.000691977999995	0.000131820996572	2.66999901715e-05	0.0	0.000106019971469	0.000217599957337	6.20099877034e-05	2.55999948698e-06	0.000682721898921	0.0	0.000154547979584	0.000110090041272	3.00900035234e-05
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micromonosporales	1.27999976384e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Propionibacteriales	2.27899957953e-05	0.000294143005236	2.55899938354e-05	0.000362174909072	0.0	0.000649439015288	2.65999918097e-05	0.000964168013421	0.000544551968526	0.000272321950401	0.000155490990196	3.26000048637e-05	0.000203734029134	2.1500000817e-05	0.000968246756841	2.55999976525e-05	0.000216784952416	0.000344310007918	0.0	1.40000016994e-06	7.2699992999e-06	4.5000003042e-05	0.000131171020771	0.0	1.90000056639e-05	0.0	1.40999987759e-05	0.000564917000847	0.000479555981941	9.35000024273e-06	8.07999997576e-06	0.0	1.58199953348e-05	9.58000352075e-06	4.40999882291e-06	1.82200013665e-05	1.65199992596e-05	1.51200071684e-05	0.000143860031561	3.57000144933e-05	0.000258067134832	8.01199931569e-05	3.8999990757e-06	0.000292842924356	6.54999974756e-06	3.920001601e-05	2.68799998495e-05	0.000454302999997	4.96999987076e-05	0.000186427931374	0.0	3.95999893433e-05	5.2699989669e-05	2.53599949711e-05	2.31499953607e-05	0.000218431967661	0.0	4.51699940329e-05	2.05000076853e-05	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Pseudonocardiales	0.0	0.0	1.05999974465e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.94000234206e-07	0.0	0.0	0.0	3.18999972754e-47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Streptomycetales	8.67999839853e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.37999999586e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.19999947046e-06	0.0	0.0	0.0	0.0	1.82999998975e-06	0.0	0.0	7.95999706984e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Streptosporangiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.70999800844e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	1.20599977749e-05	0.00180160303207	0.000188786954521	0.0	0.0	0.0	1.52999952953e-05	0.0	0.0	0.000110943979793	0.00187503988177	0.0411028911322	0.0	0.0	3.21999919135e-05	0.00136713287463	0.000133799970631	0.0	0.00343095800159	1.61000019544e-06	0.00167544983865	0.00240732516273	0.0	0.0	0.000792182236149	0.0	1.51999986804e-05	0.0	0.0	0.00402687910454	0.00306024499082	0.000192460020541	0.0028945921464	5.12000188165e-05	0.00509934963891	0.00498676537401	2.36999989379e-06	0.000946924448937	9.05200198589e-05	0.0125681831024	5.82000304078e-05	0.00409504965024	0.00011172997352	0.000297335923196	0.00513173880222	2.020000825e-05	0.00566250896829	0.0	2.30999993993e-05	0.00387285557436	0.0	0.00444513780378	4.12999919026e-05	1.4099997204e-05	0.00345917430678	0.000213873968335	0.0	0.00319670757771	0.00068302525606	0.00013202501546
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales	0.0058140579273	0.000413700007364	0.000586627858681	0.000127690967942	0.0	0.0	0.0158534191186	0.0	0.000967812944059	0.00223052959375	0.0	0.000408091060886	0.0	0.00991912437693	1.43999963837e-05	0.0127191078337	2.61999942491e-05	0.0	0.0017298914966	0.00193073023437	0.000675816934919	0.00200944713584	0.0	0.00531181638218	0.0115223224348	0.0	0.0264654287024	0.0371721880558	0.048277183182	0.00868303222541	0.00453512798639	0.0266410778434	0.00452020866701	0.0171130972892	0.00218390541708	0.00339614125471	0.0454860889615	0.0132618222874	0.0354355957741	0.0361945776941	0.0450204015218	0.0192939673521	0.00110062673915	0.079424506484	0.00572785877925	0.101728226548	0.0209967628824	0.0	0.00172872195505	0.00130759451866	0.0	0.0110354320303	0.0	0.0100900879991	0.00329504833967	0.000547903918881	0.0272133979728	0.000445367941166	0.000752980282285	0.000501908058771
k__Bacteria;p__Aquificae;c__Aquificae;o__Aquificales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0799999319e-83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.577434170463	0.280025075984	0.944980514254	0.00523409368592	0.048740351423	0.00208198004901	0.281656068876	0.000873835012166	0.747527174592	0.808076327956	0.00174662888987	0.00782395416727	0.00799912914388	0.841144549963	0.000750135811616	0.468126386073	0.000408089910424	0.647334907887	0.50601297775	0.892604541353	0.873865809847	0.258010501441	8.45000133906e-05	8.16999904975e-05	0.853730541497	0.288522734841	0.700759533479	0.825118800738	0.00176761693347	0.674011638537	0.538315236385	0.380435435604	0.765570054237	0.000661305243036	0.49472970795	0.550617104296	0.0153107573138	0.00276981131317	0.204963308966	0.0108023863855	0.0267831619934	0.330029156812	0.0115363702659	0.0111758891132	0.0800860639134	0.178503225904	0.113537908364	0.00230314899998	0.453065541218	0.861295380948	0.959164145428	0.353042330993	0.000894684824586	0.578502415283	0.502447853309	0.0245739493618	0.0914246909086	0.665119705136	0.677844072117	0.856061914241
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Marinilabiliales	1.44999973247e-23	0.0	5.29999872323e-06	0.0	0.0	0.0	0.0	0.0	0.0	9.7499982242e-284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.82999997951e-06	0.0	3.95999883222e-06	0.0	2.15999942347e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.16999996957e-84	1.62999939998e-28	0.0	2.66999928148e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.58000079874e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3500000189e-239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	3.99699926255e-06	1.27000002261e-05	1.3299996796e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.36000051775e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.55999995943e-247	1.73999935949e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	0.0117340508351	0.00129672702308	0.00388016306527	0.0	0.0	0.0	9.89999695173e-06	0.000348668004853	0.000265857984634	0.00567191196696	0.0	4.99000074447e-81	0.0	1.7500000665e-59	2.12999946509e-05	0.000687260936978	3.96999912858e-05	0.000932189021437	0.0053690574376	0.000331843040282	0.00598095242403	4.74000032042e-05	0.0	0.0	6.65000198237e-06	0.0	0.000334717970941	0.0115990950174	0.0	0.000552335014339	0.0116473039651	0.0117827802576	0.0547609488513	8.01000294376e-06	0.000908752757441	0.0108789888159	7.61199965886e-05	1.36000064478e-05	0.00178341839126	2.71860110369e-05	0.000137800071996	0.000874267925329	0.0	2.66999931032e-06	0.000251522990306	0.000325661133006	0.000137087999232	0.0	0.00143458696269	0.00117489656751	0.0211512552961	0.00962064741101	3.62999928829e-05	0.000190749962174	0.00799945339691	0.0	0.0	0.0123521103705	0.00570563013899	0.0139164836296
k__Bacteria;p__Bacteroidetes;c__NA;o__Bacteroidetes Order II. Incertae sedis	1.98999963284e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales	2.46999954428e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.59000019425e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.2799998887e-231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
