#OTU ID	SM030818-1	SM030818-24	SM030818-33	SM030818-62	SM030818-66	SM030818-91	SM030818-92	SM030818-93	SM030818-94	SM030818-95	SM030818-96	SM030818-97	SM030818-98	SM030818-99	SM030818-100	SM030818-101	SM030818-102	SM030818-103	SM030818-104	SM030818-105	SM030818-106	SM030818-107	SM030818-108	SM030818-109	SM030818-110	SM030818-111	SM030818-121	SM030818-126	SM030818-128	SM030818-130	SM030818-131	SM030818-132	SM030818-133	SM030818-134	SM030818-135	SM030818-136	SM030818-138	SM030818-139	SM030818-140	SM030818-141	SM030818-142	SM030818-143	SM030818-144	SM030818-145	SM030818-146	SM030818-147	SM030818-148	SM111418-7	SM111418-12	SM111418-44	SM111418-52	SM111418-59	SM111418-94	SM111418-113	SM071219-60	SM071219-66	SM071219-71	SM071219-89	SM071219-92	SM071219-95
195	0.001837534	0.000313281	0.000166652	0.002603943	0	0	0.000204547	0	0.00015945	0.000108087	0	0.00046933	0	2.48E-05	0.00061681	0.000430875	0	0	0.000326367	0	0.000116621	0.000161732	0	5.35E-59	0.000153403	0	0.000949083	0.00120684	0.002004019	0.001084936	0.002738677	0.017102107	0.001614494	0.003028084	0.000365854	0.003273896	0.000475709	0.000205184	0.000318209	0.000196666	0.001795837	0.000522117	0.000498251	0.000797332	0.00032657	0.001963754	0.000839142	0	0.000832445	0.000329143	0	0.000305112	0	0.000313532	0	0.000496965	0	0.000823392	0.00012191	0.000610446
197	8.33E-06	2.50E-99	0	5.63E-31	0	0	0	0	1.14E-180	0	0	2.33E-23	0	0	0.000254313	0.001371006	0	0	0	6.43E-05	0	0	0	0	0	0	7.26E-17	5.64E-30	0	2.3e-322	0.000264624	7.83E-05	0	2.45E-05	0.000115534	0	0	0	3.22E-05	0	0.000580525	3.15E-05	4.80E-05	5.50E-05	1.12E-294	0.001893328	5.97E-05	0	8.56E-05	0	0	8.38E-05	0	1.93E-166	0.000374485	1.93E-75	0	6.69E-65	1.49E-42	8.64E-143
199	0	0	0	0	0	0.000838106	0	0	0	0	0.001677293	0	0	0	0.000118572	5.14E-06	0.000856369	0	0	0	0	0	2.61E-13	0	8.40E-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49E-05	6.46E-06	0	0	3.04E-05	0	0	4.11E-05	0	0	0	0
206	0	0	0	0	0	0	0	0	0	0	8.20E-52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
210	0	0	0	0	0	0	0	0	9.67E-139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.44E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
287	0	0	1.74E-05	0	0	0	0	0	0	0	0	1.26E-05	0	0	0	0	4.99E-06	0	0	0	0	0	1.80E-67	0.039425754	0	0	0	0	0	0	0	0	1.56E-06	5.16E-06	2.11E-06	0	0	0	0	0	0	0	0	4.40E-06	0	0	3.99E-05	0	0	0	0	0	2.80E-16	0	0	0	0	1.22E-37	1.23E-05	0
292	0	0	0	0	0	0	0	0	5.33E-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
294	0	0	0	0	0	0	0	0	0	0	0	0	7.85E-05	0	7.13E-16	0	0	0	3.56E-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.79E-87	0	0	0	0	0.000113619	0	0
296	0	0	0	0	0	0	0	0	0	1.27E-241	0	0	0	0	0	0	3.09E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.51E-85	0	0	0	0	0	0	0
300	0	0.000444044	0	0	0	0	0	0	0	0	3.86E-32	0	0	0	0	0	0	0	6.04E-67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.81E-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0
303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.10E-06	1.75E-06	0	0	1.39E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.73E-248	0	0	0	0	0	0	0	0	3.94E-85	0	0	0	0	0	0	0
305	2.46E-06	0	0	0	0	0	0	0	0	0	1.81E-142	0	0	0	0	0	0	0	0	0	0	0	8.61E-19	0	0	0	0	1.13E-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.19E-213	1.70E-32	0	0	0	0	9.28E-07	0	0	1.07E-100	0	0	0	0	0	0	0
316	0	0	0	0	0	0	0	0	0	0	1.11E-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.32E-46	0	0	0	0	0	0	0	0	0	0	0	1.28E-82	0	0	0	6.25E-50	2.06E-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
330	0	0.00019333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.89E-76	0	9.60E-64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.23E-287	0	0	0	0	0	0	0	1.48E-40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.91E-06	0	0	0	0	0	0
435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.13E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.74E-05	2.69E-06	1.59E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75E-05	0	0	0	0	0	0	0	0	0	0	0	3.10E-06	0	0	9.29E-06	0	0	0	0	0	5.79E-82	1.29E-05	0	4.09E-05	0	1.24E-05	2.50E-06	0
471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.19E-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.08E-14	0	2.79E-36	0	0	0	0
480	0	0	0	0	0	0	0	0	0	0	0.000294003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
485	0	0	0	0	0	0	2.06E-88	9.54E-21	0	0	2.45E-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.06E-37	8.35E-31	0	0	1.37E-195	0	0	0	0	0	0	0
486	0	0	0	0	0	8.27E-05	2.91E-06	0.000238039	0	0	1.47E-33	0	0	0	0	2.46E-41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58E-42	0	0	0	0	0	0	0	0	0	0
487	0	0	0	0	0	0	2.92E-06	0.00159143	0	3.28E-65	0	0	0	0	0	9.26E-51	1.43E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31E-05	5.43E-30	0	6.14E-06	0	0	0	0	0	0	0	0
490	0	0	0	0	0	0	7.63E-06	0	0	7.73E-76	2.94E-05	0	0	0	3.58E-05	8.48E-05	0.000296458	0	0	0	0	0	2.02E-56	0	5.73E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.45E-06	0	0	0	0	1.78E-05	7.98E-39	0	4.90E-06	0	0	0	0	0	0	0	0
511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.79E-136	0	0	0	0	0	0	0
529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.56E-06	0	0	0	0	0	0	0	0
539	0	3.37E-05	0	0	0	0	0.004828507	0.004056429	0	0.0029705	0.000606582	0	0.000233767	0	6.81E-05	0.020641047	0.106749827	0	0	0	0.000290625	0	0.000100353	0	2.91E-05	0	0.000221919	0	0.000316335	2.14E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.58E-05	0	0	0	0	0	0	0.000111724	0	0	4.55E-06	0
545	0	1.17103e-318	0	6.52E-127	0	0	2.39E-06	3.63E-109	1.32E-227	0	2.02E-05	7.50E-87	0	0	0	0	0	0	0	6.78E-125	0	0	2.38E-41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-29	0	0	0	0	0	0	0
546	0	0.000179646	1.24E-06	0.000791992	0	7.79E-59	7.15E-72	7.43E-85	0.000461529	0.000226312	7.68E-05	0.001407345	0.008994076	0	0.001406732	7.11E-05	1.52E-18	0	0.000517393	3.72E-05	4.72E-05	0	4.28E-54	2.19E-05	1.20E-05	0.002902419	0	0	0	0	0	0	0	5.06E-06	0	0	0	1.01E-05	0	0	0	0	0	0	0	0	7.56E-135	0.000897735	0	5.97E-06	0	0	0.002755242	0	1.08E-06	0	0	4.63E-06	0	0
548	0	8.92E-96	0	3.45E-05	0	2.24E-58	0	0.000483978	2.52E-258	1.14E-99	8.87E-16	0	0.002275179	0	0	3.97E-06	3.26365e-319	0	0	6.63E-31	1.68E-05	0	1.40E-06	5.56E-133	0	0	0	0	0	0	0	0	0	7.55E-169	0	1.04E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00026087	0	1.48E-276	0	0	0	0	0
549	0	1.93E-39	0	0	0	0	0	0	0	0	6.81E-93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.12E-59	0	0	0	0	0	0	0
550	0	0.001911357	0	0.004061786	0	0	0	0.00368675	0	2.33E-113	0.00122253	3.38E-05	0	0	0	2.60E-05	0.000371603	0	0.00015597	1.34E-37	5.10E-05	0	3.44E-56	0.000467554	0	0	0	0.00027539	0	0	0	0	0	9.94E-05	0	0	0	0	0	0	4.61E-06	0	0	7.19E-06	0	0	0.000193587	0.000625548	0	5.00E-06	0	0	0.002477397	5.02E-06	1.88E-05	6.41E-05	0	4.85E-06	0	0
552	0	0	0	0	0	0	0	0	0	0	3.01E-124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.32E-92	0	0	0	0	0	0	0
553	0	0	0	0	0	0	0	0	0	0	6.82E-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.56E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
562	0.003087193	0.021296981	0.000175353	0.001905732	0.76072425	0.296385764	0.398840182	0.05669757	0.17834201	0.031817636	0.000645284	0.046378523	0.766751634	0.052998183	0.033997895	0.176414908	0.032903051	0	0.011835315	0.091738977	0.068085617	0.030992678	0.876509239	0.772410962	0.01011326	0.625645784	0.05305972	0.030930488	0.015770795	0.075015908	4.28E-05	0.014027213	0.000786747	0.021481024	8.50E-06	0	0.001298857	0.009200767	6.22E-06	0.001571131	6.15E-05	0.087862763	0	0.000172411	0.000763444	0.000591887	7.30E-05	0.000661003	0	0.00034001	1.29E-21	0.000690568	0.006781018	0.00281625	0.014297639	0.325160824	0.220665978	0.024681987	0.000327719	1.69E-05
569	0	1.57E-05	0	0.000233642	0	0	0	0	0	1.40E-230	7.50E-64	0	0	9.17E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.32E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.11E-46	0	0	0	0	3.27E-100	0	2.21E-05	0	0	0	0	0
571	2.74E-67	0.000625687	0	0.001765951	0.001874481	0	0	0.000389311	0	2.61E-05	0.002968142	0.000413397	0.004211078	0	2.40E-05	4.04E-256	4.05E-05	0	1.24E-05	2.25E-23	0	0	9.66E-54	6.09E-05	0	0	7.28E-06	0	0	0	2.11E-06	0	7.76E-06	2.06E-250	0	0	0	0	0	0	0	0	0	0	0	0	3.16E-06	1.35E-36	0	2.85E-296	5.40E-05	0	0.009606987	0	0	0	0	0.000372759	0	2.29E-06
573	0	0.148376678	7.10E-07	0.000891803	0.028484909	3.28E-05	7.58E-06	0.046660109	0.000118133	0.074488067	0.004026089	0.000659229	0.000704862	0	0.000843458	0.000459041	0.010053202	0	0.000166129	7.39E-07	2.66E-05	0	2.54E-05	0.000138903	6.34E-05	0	0	0	0	1.61E-05	0	0	2.55E-05	1.17E-05	1.48E-06	0	1.67E-06	0	0	3.96E-281	2.54E-06	0	0	0	0	0	7.66E-05	0.096589684	0	6.05E-07	0	3.10E-06	0.907256132	0	1.92E-05	7.67E-54	0	0.002961862	1.13E-06	0
582	0	0.003073699	0	0	0	0	0	0	0	0	1.17E-99	0.001146911	0	0	0	0	0	0	0	0	2.40E-05	0	0	0.016356244	0	0	0	0	0	0	0	0	0	5.09E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031819491	0	0	0	0	9.50E-77	0	0	0.006261001	0	0	0	0
584	0	0.000167472	0	0	0	3.75E-05	0	0	0	9.52E-157	0	9.55E-05	0	0	0	0	0	0	0	0	0	0	1.30E-51	0.000490972	0	0	0	0	0.004916568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.72E-05	0	0	0	0	6.24E-06	0	0
585	0	1.84E-42	0	0	0	0	0	0	0	0	0	0.001116396	0	0	0	0	0	0	0	0	0	0	4.67E-62	0.000171726	0	0	0.001856751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
587	0	0	0	0	0	0	0	0	0	0	1.93E-116	0	0	0	1.02E-05	0	4.81E-26	0	0	0	0	0	0	0	6.05E-56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.10E-28	0	0	0	0	0	0	0.0001407	2.18E-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000356916	1.58E-05	0	0	0	1.11E-98	0	0	0	0	0	0	0
595	0	0	0	0	0	0	0	0	0	0	0	3.30E-06	0	0	0	0	0	0	0	8.92E-07	0	0	3.93E-71	0	0	0	0	0	0	0	0	7.01E-07	0	0	0	0	0	0	0	0	0	2.03E-06	0	0	0	0	0	0	0	0	0	0	0	0	2.32E-07	6.56E-06	0	0	0	0
611	0	0	0	0	0	0	0	0	0	5.92E-06	9.75E-109	8.83E-291	0	0	5.10E-07	2.20E-07	6.87E-07	0	0	0	1.45E-147	0	6.51E-69	0	0	0	4.99E-07	0	0	0	0	0	0	3.04E-84	0	0	0	0	0	0	0	2.62E-48	0	0	0	0	0	0	0	0	0	0	4.62E-106	0	0	1.70E-150	0	0	0	0
614	0	0	0	6.94E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36E-61	0	0	0	0	0	0	0
615	0	1.65E-05	0	7.20E-05	0	0	0	3.00E-128	0	4.23E-182	2.96E-18	3.36E-206	0.000199806	0	9.72E-06	2.16E-250	1.67E-05	0	2.30E-173	0	0	0	4.57E-61	4.39E-127	0	0	0	0	0	0	0	0	0	4.33E-166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000445041	0	0	0	0	0	0	0
630	0	0	0	0	0	6.09E-73	0	0	0	0	1.22E-74	0.000116948	0	0	0	4.65E-223	0	0	1.71E-05	0	0	0	5.23E-58	0	7.46E-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26E-36	0	0	0.000258217	0	0	0	0
631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.70E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
632	1.13E-06	2.59E-05	0	0	0	0	6.35E-05	0	0	9.89E-250	1.35E-112	0	0	0	0	3.11E-284	0	0	0	0	0	0	6.81E-54	0	0	3.98E-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28E-05	0	0	0	0	0	0	0
633	0	0	0	0	0	0	0	0	0	6.87E-264	1.98E-119	0	0	0	0	0	0	0	0	0	0	0	2.50E-56	0	0	3.60E-28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.87E-63	0	0	0	0	0	0	0
636	0	0	0	0	0	0	0	0.000107348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.33E-93	0	0	0	0	0	0	0
645	0	0.004079636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
654	0	2.58E-114	1.46E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
669	0	0	0	0	0	0	0	0	0	0	1.30E-05	0	0	0	0	0	8.81E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
703	0	0	0	0	0.041340214	0	0	0	0	0	2.30E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000206256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.63E-93	0	0	0	0	0	0	0
714	0	0	0	0	0	0	0	0	0	6.15E-15	0.001658	0	0	0	0.000218465	0	0.000191284	0	0	0	4.97E-284	0	0	0	2.27E-272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.05E-38	0	0	0	5.70E-61	0	0	6.58E-37	0	0	4.55E-06	6.32E-06
716	0	0	0	0	0	0	0	2.54E-15	0	0	1.49E-19	0	0	0	1.14E-39	0	6.47E-71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
