"","logFC","logCPM","PValue","FDR"
"k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula",5.73104930639429,13.4107775375796,2.82844945426011e-08,3.90326024687895e-06
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Eikenella;s__Eikenella corrodens",12.9048030413964,11.7404981071263,3.0803229125775e-07,1.55741853556389e-05
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Gordonibacter;s__Gordonibacter urolithinfaciens",-6.66086421726379,11.98820327761,3.38569246861714e-07,1.55741853556389e-05
"k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium nucleatum",9.64727833528186,11.7779470692231,3.6282533626331e-06,0.000125174741010842
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis",3.73671861149265,10.3406301049631,5.08813457691486e-06,0.00014043251432285
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis",4.73314323322328,17.6549653773855,6.12588278522463e-06,0.000140895304060166
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium perfringens",4.27912992528735,9.36486043797878,1.62506187276818e-05,0.000320369340631441
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cloacae complex sp. ECNIH7",15.49529842187,12.0879364376942,2.0012638746749e-05,0.00032193100658618
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus influenzae",5.49392478020444,6.13932508593386,2.09955004295335e-05,0.00032193100658618
"k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium breve",3.55900095836276,14.0096626037659,4.16999346629472e-05,0.000571920672116928
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli",3.87932489931028,15.8794088617163,4.88413965424949e-05,0.000571920672116928
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii",2.94989907388963,13.4687179479711,4.97322323579938e-05,0.000571920672116928
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus parainfluenzae",4.42176971796259,10.5976792254081,5.50440713963395e-05,0.000584313988668834
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae",6.56180615745683,11.6035580942635,0.000155029599640493,0.001528148910742
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp. SY8519",-2.8823554960174,8.81301130465177,0.000204555219927146,0.00188190802332974
"k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli",-2.12755133860912,9.93304805639297,0.000452919031523361,0.00390642664688899
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas asaccharolytica",7.9966891574481,8.60803427971822,0.000493371267428179,0.00400501381794639
"k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Megasphaera;s__Megasphaera elsdenii",-3.65380315780891,5.96553007274607,0.000530457035495342,0.00406683727213096
